vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
CO	CO	Math	10	3	Proficient	830	890	0
CO	CO	Math	10	4	Advanced	891	1400	0
CO	CO	Math	11	1	Unsatifactory	0	760	0
CO	CO	Math	11	2	Partially Proficient	761	841	0
CO	CO	Math	11	3	Proficient	842	904	0
CO	CO	Math	11	4	Advanced	905	1400	0
CO	CO	Math	12	1	Unsatifactory	0	772	0
CO	CO	Math	12	2	Partially Proficient	773	856	0
CO	CO	Math	12	3	Proficient	857	917	0
CO	CO	Math	12	4	Advanced	918	1400	0
CO	CO	Reading	1	1	Unsatifactory	0	69	0
CO	CO	Reading	1	2	Partially Proficient	70	88	0
CO	CO	Reading	1	3	Proficient	89	346	0
CO	CO	Reading	1	4	Advanced	347	1400	0
CO	CO	Reading	2	1	Unsatifactory	0	104	0
CO	CO	Reading	2	2	Partially Proficient	105	223	0
CO	CO	Reading	2	3	Proficient	224	517	0
CO	CO	Reading	2	4	Advanced	518	1400	0
CO	CO	Reading	3	1	Unsatifactory	0	207	1
CO	CO	Reading	3	2	Partially Proficient	208	324	1
CO	CO	Reading	3	3	Proficient	325	666	1
CO	CO	Reading	3	4	Advanced	667	1400	1
CO	CO	Reading	4	1	Unsatifactory	0	301	1
CO	CO	Reading	4	2	Partially Proficient	302	444	1
CO	CO	Reading	4	3	Proficient	445	900	1
CO	CO	Reading	4	4	Advanced	901	1400	1
CO	CO	Reading	5	1	Unsatifactory	0	386	1
CO	CO	Reading	5	2	Partially Proficient	387	507	1
CO	CO	Reading	5	3	Proficient	508	985	1
CO	CO	Reading	5	4	Advanced	986	1400	1
CO	CO	Reading	6	1	Unsatifactory	0	387	1
CO	CO	Reading	6	2	Partially Proficient	388	537	1
